NZ_AP013028.1	153	1535	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	307983	308489	-	DNA mismatch repair protein MutS	WP_041045320.1	179	f3f3f3	-1
NZ_AP013028.1	308574	309326	+	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	WP_041045322.1	353	f3f3f3	-1
NZ_AP013028.1	309420	310142	+	Bax inhibitor-1/YccA family protein	WP_041045324.1	117	f3f3f3	-1
NZ_AP013028.1	310143	310679	+	cytochrome c oxidase assembly protein	WP_041045326.1	698	f3f3f3	-1
NZ_AP013028.1	310681	311298	+	ComF family protein	WP_041045328.1	463	f3f3f3	-1
NZ_AP013028.1	311302	312670	-	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	WP_041045330.1	612	f3f3f3	-1
NZ_AP013028.1	312671	313908	-	cystathionine beta-lyase	WP_041045332.1	1354	f3f3f3	-1
NZ_AP013028.1	313909	314205	-	BolA family transcriptional regulator	WP_041045334.1	68	f3f3f3	-1
NZ_AP013028.1	314308	316233	-	molecular chaperone DnaK	WP_041045336.1	336	f3f3f3	-1
NZ_AP013028.1	316321	318093	-	Rne/Rng family ribonuclease	WP_041045338.1	315	f3f3f3	-1
NZ_AP013028.1	318266	318466	+	50S ribosomal protein L33	WP_041045340.1	191	f3f3f3	-1
NZ_AP013028.1	318489	318767	+	DNA-binding protein	WP_041045342.1	-1	f3f3f3	-1
NZ_AP013028.1	321425	321766	+	DUF721 domain-containing protein	WP_041045344.1	959	f3f3f3	-1
NZ_AP013028.1	321804	322110	+	50S ribosomal protein L28	WP_041045346.1	235	f3f3f3	-1
NZ_AP013028.1	322111	322974	+	lipoyl synthase	WP_041045348.1	780	f3f3f3	-1
NZ_AP013028.1	323119	324978	+	hypothetical protein	WP_052463194.1	957	f3f3f3	-1
NZ_AP013028.1	325648	326754	+	D-alanyl-D-alanine carboxypeptidase	WP_041046585.1	163	f3f3f3	-1
NZ_AP013028.1	327731	328264	+	HK97 family phage prohead protease	WP_041045350.1	988	f3f3f3	-1
NZ_AP013028.1	328471	330835	+	hypothetical protein	WP_041045353.1	-1	f3f3f3	-1
NZ_AP013028.1	330836	332005	-	CCA tRNA nucleotidyltransferase	WP_041045355.1	109	f3f3f3	-1
NZ_AP013028.1	332095	332988	-	hypothetical protein	WP_041045357.1	-1	f3f3f3	-1
NZ_AP013028.1	333106	334200	+	redox-regulated ATPase YchF	WP_041045359.1	166	f3f3f3	-1
NZ_AP013028.1	335313	336242	-	class II fructose-bisphosphatase	WP_041046589.1	185	f3f3f3	-1
NZ_AP013028.1	336358	337365	+	hypothetical protein	WP_052463196.1	-1	f3f3f3	-1
NZ_AP013028.1	338305	338565	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	338693	339121	+	hypothetical protein	WP_052463197.1	-1	f3f3f3	-1
NZ_AP013028.1	339123	341771	-	pyruvate, phosphate dikinase	WP_041045361.1	38	f3f3f3	-1
NZ_AP013028.1	347078	348838	-	DNA primase	WP_041045363.1	164	f3f3f3	-1
NZ_AP013028.1	349002	350177	+	multifunctional ribose 5-phosphate isomerase B/3-demethylubiquinone-9 3-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase	WP_041045365.1	50	f3f3f3	-1
NZ_AP013028.1	350268	350582	-	TrbC/VirB2 family protein	WP_070104827.1	-1	f3f3f3	-1
NZ_AP013028.1	352322	353215	-	RluA family pseudouridine synthase	WP_084221173.1	367	f3f3f3	-1
NZ_AP013028.1	353294	354898	-	hypothetical protein	WP_041045369.1	-1	f3f3f3	-1
NZ_AP013028.1	355741	356001	-	IS5 family transposase	WP_145971837.1	-1	f3f3f3	-1
NZ_AP013028.1	356563	356823	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	360455	360715	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	362148	363392	-	hypothetical protein	WP_041045376.1	-1	f3f3f3	-1
NZ_AP013028.1	363476	363837	-	succinate dehydrogenase, hydrophobic membrane anchor protein	WP_041045378.1	724	f3f3f3	-1
NZ_AP013028.1	363838	364215	-	succinate dehydrogenase, cytochrome b556 subunit	WP_041045380.1	537	f3f3f3	-1
NZ_AP013028.1	366044	366586	+	hypothetical protein	WP_041045382.1	683	f3f3f3	-1
NZ_AP013028.1	366663	369899	-	carbamoyl-phosphate synthase large subunit	WP_041045384.1	548	f3f3f3	-1
NZ_AP013028.1	371425	374205	-	recombinase RecB	WP_041045386.1	539	f3f3f3	-1
NZ_AP013028.1	374305	377481	+	phosphoribosylformylglycinamidine synthase	WP_041045388.1	475	f3f3f3	-1
NZ_AP013028.1	377569	378081	+	hypothetical protein	WP_084221174.1	-1	f3f3f3	-1
NZ_AP013028.1	378226	378876	+	hypothetical protein	WP_084221175.1	770	f3f3f3	-1
NZ_AP013028.1	379402	380109	-	ribonuclease III	WP_041045392.1	578	f3f3f3	-1
NZ_AP013028.1	380188	381228	-	quinone-dependent dihydroorotate dehydrogenase	WP_041045394.1	241	f3f3f3	-1
NZ_AP013028.1	381802	383328	+	acyl-CoA carboxylase subunit beta	WP_041045396.1	580	f3f3f3	-1
NZ_AP013028.1	383536	384420	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045399.1	17	f3f3f3	-1
NZ_AP013028.1	384658	385473	+	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	WP_041045401.1	240	f3f3f3	-1
NZ_AP013028.1	385489	386082	+	pyridoxamine 5'-phosphate oxidase	WP_041045403.1	774	f3f3f3	-1
NZ_AP013028.1	387859	389811	+	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	WP_041046604.1	314	f3f3f3	-1
NZ_AP013028.1	389821	391488	+	aminopeptidase P family protein	WP_041045406.1	255	f3f3f3	-1
NZ_AP013028.1	391611	391982	+	hypothetical protein	WP_041045409.1	-1	f3f3f3	-1
NZ_AP013028.1	391988	392960	-	ketoacyl-ACP synthase III	WP_041045411.1	372	f3f3f3	-1
NZ_AP013028.1	392961	393998	-	phosphate acyltransferase PlsX	WP_041045413.1	556	f3f3f3	-1
NZ_AP013028.1	394009	394191	-	50S ribosomal protein L32	WP_041045415.1	198	f3f3f3	-1
NZ_AP013028.1	394488	394796	+	hypothetical protein	WP_041045417.1	-1	f3f3f3	-1
NZ_AP013028.1	394812	395453	+	transposase	WP_145971843.1	-1	f3f3f3	-1
NZ_AP013028.1	395841	396113	+	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	396990	397493	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	399079	399320	-	type II toxin-antitoxin system RelE/ParE family toxin	WP_041045420.1	47	f3f3f3	-1
NZ_AP013028.1	399321	399551	-	hypothetical protein	WP_041045422.1	94	f3f3f3	-1
NZ_AP013028.1	399700	402072	-	phenylalanine--tRNA ligase subunit beta	WP_041045424.1	335	f3f3f3	-1
NZ_AP013028.1	402185	402472	-	hypothetical protein	WP_041045426.1	-1	f3f3f3	-1
NZ_AP013028.1	402635	403615	+	type I glyceraldehyde-3-phosphate dehydrogenase	WP_041046606.1	120	f3f3f3	-1
NZ_AP013028.1	403619	404386	+	twin-arginine translocase subunit TatC	WP_041045428.1	231	f3f3f3	-1
NZ_AP013028.1	405149	405370	+	hypothetical protein	WP_041045432.1	94	f3f3f3	-1
NZ_AP013028.1	407147	407342	+	hypothetical protein	WP_041046608.1	94	f3f3f3	-1
NZ_AP013028.1	407343	407657	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_041045434.1	47	f3f3f3	-1
NZ_AP013028.1	407857	408126	+	IS5 family transposase	WP_145971844.1	-1	f3f3f3	-1
NZ_AP013028.1	408885	409670	+	hypothetical protein	WP_041045439.1	-1	f3f3f3	-1
NZ_AP013028.1	409954	410310	+	hypothetical protein	WP_041045440.1	-1	f3f3f3	-1
NZ_AP013028.1	410336	410893	-	dCTP deaminase	WP_041045442.1	591	f3f3f3	-1
NZ_AP013028.1	411330	411587	-	hypothetical protein	WP_084221176.1	1590	f3f3f3	-1
NZ_AP013028.1	411719	412543	+	YihY/virulence factor BrkB family protein	WP_041046610.1	727	f3f3f3	-1
NZ_AP013028.1	412553	413302	+	SDR family oxidoreductase	WP_041045444.1	521	f3f3f3	-1
NZ_AP013028.1	413360	415156	-	elongation factor 4	WP_041045446.1	190	f3f3f3	-1
NZ_AP013028.1	415221	416618	-	malonyl-CoA decarboxylase	WP_041045448.1	979	f3f3f3	-1
NZ_AP013028.1	416874	417134	+	IS5 family transposase	WP_145971845.1	-1	f3f3f3	-1
NZ_AP013028.1	418535	419056	+	cytochrome b	WP_041045452.1	1454	f3f3f3	-1
NZ_AP013028.1	419062	420108	+	2-nitropropane dioxygenase	WP_041045454.1	761	f3f3f3	-1
NZ_AP013028.1	420213	421412	+	hypothetical protein	WP_041045456.1	-1	f3f3f3	-1
NZ_AP013028.1	421514	421876	+	hypothetical protein	WP_041045458.1	-1	f3f3f3	-1
NZ_AP013028.1	421912	424246	+	type VI secretion protein	WP_041045460.1	1027	f3f3f3	-1
NZ_AP013028.1	424247	427219	+	hypothetical protein	WP_041045462.1	-1	f3f3f3	-1
NZ_AP013028.1	427865	428353	-	hypothetical protein	WP_084221177.1	1576	f3f3f3	-1
NZ_AP013028.1	428423	429811	+	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	WP_041045466.1	688	f3f3f3	-1
NZ_AP013028.1	430252	430378	+	transposase	WP_084221178.1	446	f3f3f3	-1
NZ_AP013028.1	430379	430882	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	430952	431212	-	hypothetical protein	WP_041045470.1	-1	f3f3f3	-1
NZ_AP013028.1	431903	433081	+	aspartate aminotransferase family protein	WP_041045472.1	97	f3f3f3	-1
NZ_AP013028.1	433189	434475	+	HlyC/CorC family transporter	WP_041045474.1	26	f3f3f3	-1
NZ_AP013028.1	434485	434743	+	DUF2312 domain-containing protein	WP_041045476.1	1548	f3f3f3	-1
NZ_AP013028.1	434744	435307	+	UbiX family flavin prenyltransferase	WP_041045478.1	449	f3f3f3	-1
NZ_AP013028.1	435311	436207	+	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	WP_041045480.1	222	f3f3f3	-1
NZ_AP013028.1	436238	437056	+	polysaccharide deacetylase family protein	WP_041046612.1	1545	f3f3f3	-1
NZ_AP013028.1	437566	438792	+	MFS transporter	WP_041045482.1	735	f3f3f3	-1
NZ_AP013028.1	440955	442841	-	hypothetical protein	WP_145971846.1	-1	f3f3f3	-1
NZ_AP013028.1	443835	444293	-	hypothetical protein	WP_041045488.1	-1	f3f3f3	-1
NZ_AP013028.1	444507	444715	+	hypothetical protein	WP_041045490.1	94	f3f3f3	-1
NZ_AP013028.1	444716	444979	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_084221205.1	47	f3f3f3	-1
NZ_AP013028.1	445312	445626	+	IS5 family transposase	WP_041045085.1	446	f3f3f3	-1
NZ_AP013028.1	445638	446012	+	IS5/IS1182 family transposase	WP_070104828.1	662	f3f3f3	-1
NZ_AP013028.1	447096	447506	+	hypothetical protein	WP_041045492.1	-1	f3f3f3	-1
NZ_AP013028.1	447641	447958	+	hypothetical protein	WP_041045494.1	-1	f3f3f3	-1
NZ_AP013028.1	447974	448736	+	hypothetical protein	WP_041045496.1	-1	f3f3f3	-1
NZ_AP013028.1	448737	449231	+	hypothetical protein	WP_041045498.1	-1	f3f3f3	-1
NZ_AP013028.1	449266	449781	+	hypothetical protein	WP_041045500.1	-1	f3f3f3	-1
NZ_AP013028.1	449912	450203	-	type II toxin-antitoxin system RelE/ParE family toxin	WP_145971847.1	-1	f3f3f3	-1
NZ_AP013028.1	450204	450425	-	hypothetical protein	WP_041045504.1	94	f3f3f3	-1
NZ_AP013028.1	450526	450816	-	hypothetical protein	WP_041045506.1	47	f3f3f3	-1
NZ_AP013028.1	450817	451038	-	hypothetical protein	WP_041045509.1	94	f3f3f3	-1
NZ_AP013028.1	451136	451615	+	hypothetical protein	WP_041045510.1	-1	f3f3f3	-1
NZ_AP013028.1	451968	452183	+	hypothetical protein	WP_041045512.1	-1	f3f3f3	-1
NZ_AP013028.1	453077	453976	-	hypothetical protein	WP_145971848.1	-1	f3f3f3	-1
NZ_AP013028.1	454319	455734	+	hypothetical protein	WP_052463198.1	-1	f3f3f3	-1
NZ_AP013028.1	456803	459698	-	hypothetical protein	WP_052463199.1	749	f3f3f3	-1
NZ_AP013028.1	459699	460136	-	ribonuclease HI	WP_041045517.1	279	f3f3f3	-1
NZ_AP013028.1	460327	461214	-	protoheme IX farnesyltransferase	WP_041045518.1	494	f3f3f3	-1
NZ_AP013028.1	461216	462766	-	cytochrome c oxidase subunit I	WP_041045519.1	575	f3f3f3	-1
NZ_AP013028.1	462782	463546	-	cytochrome c oxidase subunit II	WP_041045520.1	497	f3f3f3	-1
NZ_AP013028.1	464719	466236	-	HlyD family type I secretion periplasmic adaptor subunit	WP_041046618.1	696	f3f3f3	-1
NZ_AP013028.1	466467	467201	+	3-oxoacyl-[acyl-carrier-protein] reductase	WP_041045521.1	246	f3f3f3	-1
NZ_AP013028.1	467301	467651	+	TrbC/VirB2 family protein	WP_041045522.1	25	f3f3f3	-1
NZ_AP013028.1	467677	468957	-	M48 family metalloprotease	WP_041045524.1	495	f3f3f3	-1
NZ_AP013028.1	469029	469682	-	3,4-dihydroxy-2-butanone-4-phosphate synthase	WP_041045526.1	72	f3f3f3	-1
NZ_AP013028.1	469686	470180	-	transcription elongation factor GreA	WP_041045528.1	365	f3f3f3	-1
NZ_AP013028.1	470190	471727	-	F0F1 ATP synthase subunit alpha	WP_041045530.1	203	f3f3f3	-1
NZ_AP013028.1	471728	472288	-	ATP synthase F1 subunit delta	WP_041045532.1	199	f3f3f3	-1
NZ_AP013028.1	472581	472931	-	TrbC/VirB2 family protein	WP_041045534.1	25	f3f3f3	-1
NZ_AP013028.1	473085	474197	-	molecular chaperone DnaJ	WP_041046620.1	167	f3f3f3	-1
NZ_AP013028.1	474532	474861	+	TrbC/VirB2 family protein	WP_041045536.1	25	f3f3f3	-1
NZ_AP013028.1	476408	477151	+	outer membrane protein assembly factor BamD	WP_052463200.1	106	f3f3f3	-1
NZ_AP013028.1	477199	477948	+	YebC/PmpR family DNA-binding transcriptional regulator	WP_041045538.1	331	f3f3f3	-1
NZ_AP013028.1	477952	478924	+	M23 family metallopeptidase	WP_041045540.1	656	f3f3f3	-1
NZ_AP013028.1	478925	479794	+	SPFH domain-containing protein	WP_041045542.1	1000	f3f3f3	-1
NZ_AP013028.1	480465	481043	-	hypothetical protein	WP_041045544.1	2	f3f3f3	-1
NZ_AP013028.1	481496	481822	+	hypothetical protein	WP_041045546.1	-1	f3f3f3	-1
NZ_AP013028.1	482954	483343	+	hypothetical protein	WP_041045548.1	995	f3f3f3	-1
NZ_AP013028.1	483399	484175	+	hypothetical protein	WP_041045550.1	-1	f3f3f3	-1
NZ_AP013028.1	485253	486611	-	DNA recombination protein RmuC	WP_041045552.1	593	f3f3f3	-1
NZ_AP013028.1	486704	487444	-	hypothetical protein	WP_041045554.1	-1	f3f3f3	-1
NZ_AP013028.1	492403	493338	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045557.1	17	f3f3f3	-1
NZ_AP013028.1	493521	493793	+	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	494675	495178	+	IS5 family transposase	WP_041044928.1	662	f3f3f3	-1
NZ_AP013028.1	495187	495936	-	hypothetical protein	WP_041045561.1	-1	f3f3f3	-1
NZ_AP013028.1	495994	496890	-	cation diffusion facilitator family transporter	WP_041046627.1	697	f3f3f3	-1
NZ_AP013028.1	498624	499511	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041045563.1	17	f3f3f3	-1
NZ_AP013028.1	499742	500722	+	phospho-N-acetylmuramoyl-pentapeptide-transferase	WP_041045565.1	624	f3f3f3	-1
NZ_AP013028.1	500729	501337	+	ribonuclease HII	WP_041045567.1	273	f3f3f3	-1
NZ_AP013028.1	501390	502004	-	SCO family protein	WP_041045569.1	738	f3f3f3	-1
NZ_AP013028.1	502049	502744	-	DNA polymerase III subunit epsilon	WP_041045571.1	558	f3f3f3	-1
NZ_AP013028.1	502756	503412	-	Tim44 domain-containing protein	WP_041045573.1	690	f3f3f3	-1
NZ_AP013028.1	503580	504083	+	protein-export chaperone SecB	WP_041045575.1	599	f3f3f3	-1
NZ_AP013028.1	504282	504482	+	30S ribosomal protein S21	WP_041045577.1	-1	f3f3f3	-1
NZ_AP013028.1	504511	505671	+	ADP-forming succinate--CoA ligase subunit beta	WP_041045579.1	448	f3f3f3	-1
NZ_AP013028.1	505675	506553	+	succinate--CoA ligase subunit alpha	WP_041045581.1	524	f3f3f3	-1
NZ_AP013028.1	506561	507343	-	diaminopimelate epimerase	WP_041045583.1	653	f3f3f3	-1
NZ_AP013028.1	508035	508558	+	biotin transporter BioY	WP_041045585.1	944	f3f3f3	-1
NZ_AP013028.1	508559	508965	+	DUF1284 domain-containing protein	WP_041045587.1	-1	f3f3f3	-1
NZ_AP013028.1	508966	509277	-	hypothetical protein	WP_041045589.1	-1	f3f3f3	-1
NZ_AP013028.1	509601	510285	-	ankyrin repeat domain-containing protein	WP_084221179.1	2	f3f3f3	-1
NZ_AP013028.1	510286	510546	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	511061	511336	-	ankyrin repeat domain-containing protein	WP_041045591.1	2	f3f3f3	-1
NZ_AP013028.1	512844	513140	-	hypothetical protein	WP_041045593.1	-1	f3f3f3	-1
NZ_AP013028.1	513146	517846	-	NAD-glutamate dehydrogenase	WP_041045595.1	675	f3f3f3	-1
NZ_AP013028.1	518224	519396	+	NADH-quinone oxidoreductase subunit D	WP_041045597.1	589	f3f3f3	-1
NZ_AP013028.1	520248	520991	-	5'/3'-nucleotidase SurE	WP_041045599.1	523	f3f3f3	-1
NZ_AP013028.1	521213	523249	+	NAD-dependent DNA ligase LigA	WP_041045601.1	226	f3f3f3	-1
NZ_AP013028.1	523332	523820	-	crossover junction endodeoxyribonuclease RuvC	WP_041045603.1	363	f3f3f3	-1
NZ_AP013028.1	523836	524648	-	cytochrome c oxidase subunit 3	WP_041045605.1	569	f3f3f3	-1
NZ_AP013028.1	525413	526063	-	TenA family transcriptional regulator	WP_041045607.1	1595	f3f3f3	-1
NZ_AP013028.1	526798	527058	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	529358	531316	+	primosomal protein N'	WP_041045611.1	299	f3f3f3	-1
NZ_AP013028.1	531464	532210	+	ankyrin repeat domain-containing protein	WP_145971849.1	-1	f3f3f3	-1
NZ_AP013028.1	532216	533474	-	histidine--tRNA ligase	WP_041045613.1	366	f3f3f3	-1
NZ_AP013028.1	533475	534047	-	NifU family protein	WP_041046633.1	577	f3f3f3	-1
NZ_AP013028.1	534109	534468	+	DnaJ domain-containing protein	WP_052463204.1	-1	f3f3f3	-1
NZ_AP013028.1	534949	536199	-	tyrosine--tRNA ligase	WP_041045615.1	159	f3f3f3	-1
NZ_AP013028.1	536258	536584	-	ribosome silencing factor	WP_052463340.1	293	f3f3f3	-1
NZ_AP013028.1	536753	537350	+	AAA family ATPase	WP_041045619.1	-1	f3f3f3	-1
NZ_AP013028.1	537351	537845	+	RNA pyrophosphohydrolase	WP_041045621.1	929	f3f3f3	-1
NZ_AP013028.1	537853	538629	+	TatD family hydrolase	WP_041046636.1	374	f3f3f3	-1
NZ_AP013028.1	538656	539606	-	malate dehydrogenase	WP_041045624.1	551	f3f3f3	-1
NZ_AP013028.1	539610	540174	-	NADH-quinone oxidoreductase subunit C	WP_041045626.1	731	f3f3f3	-1
NZ_AP013028.1	540175	540690	-	NADH-quinone oxidoreductase subunit B	WP_041045628.1	562	f3f3f3	-1
NZ_AP013028.1	540695	541048	-	NADH-quinone oxidoreductase subunit A	WP_041045630.1	480	f3f3f3	-1
NZ_AP013028.1	541074	541442	-	HIT domain-containing protein	WP_041045632.1	206	f3f3f3	-1
NZ_AP013028.1	541446	542423	-	hypothetical protein	WP_052463205.1	-1	f3f3f3	-1
NZ_AP013028.1	542607	543983	+	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	WP_041045634.1	638	f3f3f3	-1
NZ_AP013028.1	545596	545856	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	546904	547680	+	ABC transporter ATP-binding protein	WP_041045636.1	277	f3f3f3	-1
NZ_AP013028.1	547820	547987	+	twin-arginine translocase TatA/TatE family subunit	WP_006013840.1	128	f3f3f3	-1
NZ_AP013028.1	548118	548774	+	exopolysaccharide biosynthesis protein	WP_041045638.1	996	f3f3f3	-1
NZ_AP013028.1	548811	550139	+	cysteine--tRNA ligase	WP_145971850.1	-1	f3f3f3	-1
NZ_AP013028.1	550146	550548	+	hypothetical protein	WP_041045641.1	758	f3f3f3	-1
NZ_AP013028.1	550549	551400	-	hypothetical protein	WP_052463206.1	-1	f3f3f3	-1
NZ_AP013028.1	551458	552657	-	phosphoglycerate kinase	WP_041045643.1	466	f3f3f3	-1
NZ_AP013028.1	552681	553709	-	NAD(P)/FAD-dependent oxidoreductase	WP_041045645.1	684	f3f3f3	-1
NZ_AP013028.1	554395	554655	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	556481	557560	-	peptide chain release factor 1	WP_041045646.1	208	f3f3f3	-1
NZ_AP013028.1	557680	558273	+	YihA family ribosome biogenesis GTP-binding protein	WP_041045647.1	337	f3f3f3	-1
NZ_AP013028.1	558278	559189	+	acetylglutamate kinase	WP_041046648.1	272	f3f3f3	-1
NZ_AP013028.1	559489	560736	+	IscS subfamily cysteine desulfurase	WP_041045648.1	378	f3f3f3	-1
NZ_AP013028.1	562144	563505	-	glutamate--tRNA ligase	WP_041045649.1	306	f3f3f3	-1
NZ_AP013028.1	563666	564397	+	hypothetical protein	WP_041045650.1	-1	f3f3f3	-1
NZ_AP013028.1	564476	566437	+	ATP-grasp domain-containing protein	WP_041045651.1	333	f3f3f3	-1
NZ_AP013028.1	566438	567454	-	heme A synthase	WP_041046649.1	755	f3f3f3	-1
NZ_AP013028.1	569048	569524	-	ATP synthase F0F1 subunit B	WP_041045653.1	958	f3f3f3	-1
NZ_AP013028.1	569533	570012	-	ATP synthase F0 subunit B	WP_041045655.1	739	f3f3f3	-1
NZ_AP013028.1	570016	570243	-	F0F1 ATP synthase subunit C	WP_041045657.1	705	f3f3f3	-1
NZ_AP013028.1	570303	571028	-	F0F1 ATP synthase subunit A	WP_041045659.1	412	f3f3f3	-1
NZ_AP013028.1	571137	571490	-	hypothetical protein	WP_041045661.1	-1	f3f3f3	-1
NZ_AP013028.1	571627	572433	-	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	WP_041045663.1	283	f3f3f3	-1
NZ_AP013028.1	572619	573320	+	triosephosphate isomerase	WP_041045665.1	533	f3f3f3	-1
NZ_AP013028.1	574601	574861	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	575387	575659	-	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	575858	575974	+	hypothetical protein	WP_084221180.1	-1	f3f3f3	-1
NZ_AP013028.1	576074	576434	-	cytochrome c biogenesis protein CcmH	WP_041045667.1	596	f3f3f3	-1
NZ_AP013028.1	576435	577493	-	hypothetical protein	WP_041045669.1	-1	f3f3f3	-1
NZ_AP013028.1	577496	577855	-	2Fe-2S iron-sulfur cluster binding domain-containing protein	WP_041045671.1	598	f3f3f3	-1
NZ_AP013028.1	577968	579506	+	UDP-N-acetylmuramoylalanine--D-glutamate ligase	WP_041045673.1	642	f3f3f3	-1
NZ_AP013028.1	579513	580112	+	COQ9 family protein	WP_041045675.1	975	f3f3f3	-1
NZ_AP013028.1	581244	581512	+	hypothetical protein	WP_041046653.1	-1	f3f3f3	-1
NZ_AP013028.1	581513	582061	-	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	WP_041045677.1	534	f3f3f3	-1
NZ_AP013028.1	582784	583044	+	ankyrin repeat domain-containing protein	WP_052463208.1	2	f3f3f3	-1
NZ_AP013028.1	584419	584679	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	585180	585911	-	site-specific DNA-methyltransferase	WP_084221181.1	921	f3f3f3	-1
NZ_AP013028.1	586284	588023	-	single-stranded-DNA-specific exonuclease RecJ	WP_041046660.1	327	f3f3f3	-1
NZ_AP013028.1	588183	588734	+	hypothetical protein	WP_052463211.1	-1	f3f3f3	-1
NZ_AP013028.1	588842	589369	+	cytochrome c family protein	WP_041045679.1	687	f3f3f3	-1
NZ_AP013028.1	589371	590117	+	alpha/beta hydrolase	WP_041045681.1	751	f3f3f3	-1
NZ_AP013028.1	590787	592172	+	class II fumarate hydratase	WP_041046664.1	124	f3f3f3	-1
NZ_AP013028.1	592173	592427	-	hypothetical protein	WP_041045683.1	-1	f3f3f3	-1
NZ_AP013028.1	592573	593217	-	fructose-6-phosphate aldolase	WP_041045685.1	290	f3f3f3	-1
NZ_AP013028.1	593418	593669	+	hypothetical protein	WP_145971851.1	-1	f3f3f3	-1
NZ_AP013028.1	593762	594106	-	ATP synthase subunit epsilon	WP_041045689.1	223	f3f3f3	-1
NZ_AP013028.1	594112	595554	-	F0F1 ATP synthase subunit beta	WP_041046666.1	345	f3f3f3	-1
NZ_AP013028.1	595662	596741	-	phosphate ABC transporter permease subunit PstC	WP_041046667.1	531	f3f3f3	-1
NZ_AP013028.1	596865	596999	+	50S ribosomal protein L34	WP_011256888.1	165	f3f3f3	-1
NZ_AP013028.1	597007	597351	+	ribonuclease P protein component	WP_084221182.1	1023	f3f3f3	-1
NZ_AP013028.1	597438	597704	+	hypothetical protein	WP_041045691.1	-1	f3f3f3	-1
NZ_AP013028.1	601094	602167	+	methyltransferase domain-containing protein	WP_041045693.1	997	f3f3f3	-1
NZ_AP013028.1	602222	604006	+	ribonucleoside-diphosphate reductase subunit alpha	WP_041045695.1	126	f3f3f3	-1
NZ_AP013028.1	604007	604474	+	Holliday junction resolvase RuvX	WP_041045697.1	248	f3f3f3	-1
NZ_AP013028.1	604618	606210	+	hypothetical protein	WP_041045699.1	-1	f3f3f3	-1
NZ_AP013028.1	607175	607759	-	glycerol-3-phosphate acyltransferase	WP_041045704.1	496	f3f3f3	-1
NZ_AP013028.1	607772	609238	-	amino acid carrier protein	WP_041045706.1	514	f3f3f3	-1
NZ_AP013028.1	610611	611377	-	CDP-diacylglycerol--serine O-phosphatidyltransferase	WP_041045708.1	525	f3f3f3	-1
NZ_AP013028.1	611378	612070	-	phosphatidylserine decarboxylase	WP_041045710.1	470	f3f3f3	-1
NZ_AP013028.1	612301	613368	-	recombinase RecA	WP_041045712.1	265	f3f3f3	-1
NZ_AP013028.1	613992	614543	-	aminoacyl-tRNA hydrolase	WP_041045715.1	505	f3f3f3	-1
NZ_AP013028.1	614543	615154	-	50S ribosomal protein L25/general stress protein Ctc	WP_041045718.1	382	f3f3f3	-1
NZ_AP013028.1	616114	617454	+	dihydroorotase	WP_041045721.1	238	f3f3f3	-1
NZ_AP013028.1	617608	618747	-	peptidylprolyl isomerase	WP_041045723.1	676	f3f3f3	-1
NZ_AP013028.1	618967	620295	+	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	WP_041045725.1	229	f3f3f3	-1
